pool=86 cached=0 todo=86
  labelled 1/86 ok=1 (41s)
  labelled 6/86 ok=4 (197s)
  labelled 11/86 ok=9 (611s)
  labelled 16/86 ok=14 (1030s)
  labelled 21/86 ok=18 (1180s)
  labelled 26/86 ok=21 (1452s)
  labelled 31/86 ok=23 (1549s)
  labelled 36/86 ok=25 (1616s)
  labelled 41/86 ok=26 (1646s)
  labelled 46/86 ok=30 (1768s)
  labelled 51/86 ok=35 (1906s)
  labelled 56/86 ok=40 (2175s)
  labelled 61/86 ok=45 (2429s)
  labelled 66/86 ok=50 (2817s)
  labelled 71/86 ok=55 (3066s)
  labelled 76/86 ok=60 (3288s)
  labelled 81/86 ok=65 (3378s)
  labelled 86/86 ok=68 (3390s)
DONE: 68 labelled; V_min range [-0.095,-0.052] a.u.
